BLEU	sacre_BLEU	sacre_CHRF2
0.00	12.91	31.91
0.00	11.50	43.24
0.19	25.79	59.67
0.00	17.03	52.20
0.00	23.88	52.50
0.24	34.69	55.46
0.00	13.38	47.07
0.63	69.09	71.63
0.80	77.72	68.49
0.32	31.70	77.37
0.26	26.38	58.56
0.00	8.48	17.21
0.00	25.76	56.47
0.45	58.53	55.61
0.40	52.38	68.83
0.00	20.88	67.48
0.67	68.50	64.33
0.00	9.58	46.40
0.13	18.55	54.06
0.47	59.84	76.78
0.29	39.57	70.17
0.38	45.52	61.17
0.11	15.92	55.54
0.20	26.50	46.58
0.78	78.90	75.44
0.00	6.47	46.06
0.29	30.09	58.76
0.38	39.45	61.53
0.00	12.07	50.66
0.00	8.69	45.83
0.64	65.85	79.10
0.66	66.49	70.67
0.50	53.43	62.03
0.16	24.01	55.95
0.40	56.63	69.46
0.28	37.68	73.31
0.34	38.89	63.09
0.00	17.06	54.47
0.41	56.47	73.99
0.40	52.66	64.76
0.00	32.07	56.83
0.00	12.21	44.69
0.00	10.71	56.37
0.47	50.45	80.54
0.00	6.99	37.71
0.62	61.69	76.75
0.20	30.41	58.01
0.60	63.38	77.89
0.70	72.63	82.87
0.50	58.15	70.68
0.00	12.70	14.90
0.21	30.93	58.61
0.00	25.85	57.83
0.48	53.21	69.83
0.32	32.09	46.58
0.16	16.26	62.94
0.00	31.75	66.98
1.00	100.00	100.00
0.44	51.18	73.26
0.74	79.11	84.50
0.53	63.72	81.92
0.42	43.67	78.22
0.00	10.68	40.22
0.00	50.27	56.45
0.15	24.17	48.64
0.10	15.65	53.58
0.09	17.64	53.32
0.07	15.73	45.54
0.00	9.48	40.57
0.09	17.58	49.43
0.18	26.31	59.19
0.00	7.29	40.71
0.28	32.92	59.45
0.00	8.12	46.97
0.00	13.11	28.41
1.00	100.00	100.00
0.38	52.18	61.75
0.52	52.08	71.94
0.40	49.03	72.08
0.82	83.94	81.34
0.83	82.72	85.75
0.35	39.44	71.06
0.55	57.29	72.25
0.67	70.15	77.28
0.51	57.39	78.42
0.00	23.40	49.95
0.20	28.98	42.72
0.00	26.80	52.63
0.49	76.60	63.59
0.00	15.67	44.76
0.53	63.83	57.85
0.22	27.57	51.79
0.00	10.55	62.46
0.00	15.54	59.39
0.17	28.41	61.47
0.54	61.21	81.73
0.00	17.11	61.54
0.40	44.58	66.40
0.00	10.39	51.66
0.61	68.06	72.80
0.57	55.65	76.80
0.00	4.20	22.37
0.00	8.81	28.72
0.17	29.57	48.18
0.21	20.24	43.70
0.21	27.40	52.68
0.00	4.25	29.19
0.00	7.93	40.86
0.32	30.30	54.24
0.29	36.54	58.19
0.00	15.08	48.71
0.25	35.74	58.21
0.00	8.17	26.66
0.53	56.38	76.97
0.65	67.76	65.87
0.15	20.42	48.17
0.45	50.67	66.14
0.27	35.03	59.32
0.00	16.26	33.25
0.19	26.24	46.05
0.00	20.61	49.84
0.54	64.35	82.98
0.22	32.24	58.26
0.00	3.04	31.11
0.00	16.59	31.40
0.00	4.74	20.56
1.00	100.00	100.00
0.00	30.38	62.76
0.44	44.34	66.65
0.22	26.92	70.37
0.47	51.13	66.85
0.24	27.03	65.07
0.25	42.23	54.70
0.29	27.38	44.71
0.29	36.40	65.99
0.00	6.75	43.72
0.00	19.77	45.73
0.20	25.04	55.37
0.49	58.51	71.72
0.14	21.33	33.18
0.30	32.08	62.97
0.00	20.80	67.62
0.32	32.04	70.57
0.00	22.51	61.61
0.00	29.44	52.31
0.00	5.14	44.69
0.30	48.96	71.30
