BLEU	sacre_BLEU	sacre_CHRF2
0.26	24.38	45.18
0.69	65.90	74.19
0.34	33.93	73.23
0.32	30.28	51.25
0.00	18.21	51.92
0.42	50.59	63.04
0.16	23.15	42.87
0.24	26.97	57.93
0.00	20.80	67.62
0.38	42.05	67.52
0.43	49.89	67.13
0.00	27.84	50.54
0.00	6.29	44.62
0.00	36.80	63.23
0.37	38.61	67.43
0.12	18.53	46.68
0.00	11.87	55.51
0.35	46.89	69.41
0.13	23.33	62.66
0.41	44.94	67.91
0.35	38.84	59.24
0.37	46.64	73.41
0.30	30.87	41.93
0.41	44.36	66.69
0.32	35.38	70.45
0.45	50.76	58.21
0.00	16.54	49.61
0.63	72.45	84.10
0.52	58.81	78.97
0.00	49.86	58.40
